conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,sentiment,confidence
1941815315769561106,Sun Jul 06 11:03:43 +0000 2025,74,Wow!! King of aura Farming Pacu Jalur #reels #aurafarming #viral https://t.co/9oe1aW3Dkc,1941815315769561106,https://pbs.twimg.com/ext_tw_video_thumb/1941815192817455105/pu/img/W1K1VOQnUXFg20VI.jpg,,in,,1,2,6,https://x.com/undefined/status/1941815315769561106,584439432,,wow king of aura farming pacu jalur,positive,0.9975505471229553
1942739092640522488,Wed Jul 09 00:14:28 +0000 2025,32,Gubernur Riau Abdul Wahid mengangkat Rayyan Arkan Dikha anak penari Pacu Jalur Kuantan Singingi (Kuansing) yang terkenal dengan aura farming jadi Duta Pariwisata Riau. Abdul Wahid mengatakan penghargaan ini diberikan karena Rayyan telah mempromosikan Pacu Jalur ke dunia. https://t.co/7UtmPxKtdH,1942739092640522488,https://pbs.twimg.com/media/GvX-4k8XoAAVYOB.jpg,,in,,2,1,4,https://x.com/undefined/status/1942739092640522488,180696019,,gubernur riau abdul wahid mengangkat rayyan arkan dikha anak penari pacu jalur kuantan singingi kuansing yang terkenal dengan aura farming jadi duta pariwisata riau abdul wahid mengatakan penghargaan ini diberikan karena rayyan telah mempromosikan pacu jalur ke dunia,neutral,0.873770534992218
1944397671084748921,Sun Jul 13 14:05:04 +0000 2025,3823,ITS VEDA PRATAMA MASTERCLASS IN SACHSENRING. INDONESIA RAYA BERKUMANDANG LAGI DI RED BULL ROOKIES CUP!🇮🇩 SELEBRASI PACU JALUR DIBAWA SENDIRI OLEH ORANG INDONESIA ASLI COYY https://t.co/NHKGQwkx1K,1944397671084748921,https://pbs.twimg.com/amplify_video_thumb/1944397332113772544/img/CzVwjGZdlZjMzx5B.jpg,,in,,116,50,1091,https://x.com/undefined/status/1944397671084748921,1268958732794261505,,its veda pratama masterclass in sachsenring indonesia raya berkumandang lagi di red bull rookies cup selebrasi pacu jalur dibawa sendiri oleh orang indonesia asli coyy,neutral,0.8973140716552734
1690947496552636416,Mon Aug 14 04:44:34 +0000 2023,391, trend pacu jalur udah sampe thailand https://t.co/l1fCRlSQKr,1690947496552636416,https://pbs.twimg.com/media/F3dzyQ0bUAAbeIL.jpg,,in,,4,16,16,https://x.com/undefined/status/1690947496552636416,1371650588,,trend pacu jalur udah sampe thailand,neutral,0.9740168452262878
1940650640557977754,Thu Jul 03 05:55:42 +0000 2025,2830,Lihat video kyk gini sliweran di akun-akun luar. Orang-orang penasaran dan pada makin tau Pacu Jalur nemu banyak banget yang menarik dari olahraga ini. Ini harusnya jadi salah satu tugas Kementrian Kebudayaan: Promosi Kebudaayan. Bukannya malah sibuk whitewashing sejarah.,1940650640557977754,,,in,,24,24,1440,https://x.com/undefined/status/1940650640557977754,1457701454,,lihat video kyk gini sliweran di akunakun luar orangorang penasaran dan pada makin tau pacu jalur nemu banyak banget yang menarik dari olahraga ini ini harusnya jadi salah satu tugas kementrian kebudayaan promosi kebudaayan bukannya malah sibuk whitewashing sejarah,positive,0.955913782119751
1940989328483930327,Fri Jul 04 04:21:32 +0000 2025,817,Gaya anak-anak pendayung Pacu Jalur asal Riau sukses mencuri perhatian dunia. Gerakan mereka yang penuh percaya diri kini viral sebagai tren Aura Farming di TikTok bahkan ditiru klub-klub sepak bola dunia. Lewat media sosial tradisi yang diwariskan turun-temurun dari https://t.co/Ng6d9B0WUV,1940989328483930327,https://pbs.twimg.com/amplify_video_thumb/1940988890501791744/img/6xxFoXXYn7CRydbf.jpg,,in,,22,22,201,https://x.com/undefined/status/1940989328483930327,23343960,,gaya anakanak pendayung pacu jalur asal riau sukses mencuri perhatian dunia gerakan mereka yang penuh percaya diri kini viral sebagai tren aura farming di tiktok bahkan ditiru klubklub sepak bola dunia lewat media sosial tradisi yang diwariskan turuntemurun dari,positive,0.9824100732803345
1944377567831867849,Sun Jul 13 12:45:11 +0000 2025,1603,AKHIRNYA SANG RAJA TELAH KEMBALI KE SINGGAHSANA MILIKNYA DI SACHSENRING! Marc Marquez berhasil raih kemenangan yang jadi tradisi tahunannya setelah berhasil mendominasi jalannya race. Dan ditutup dengan selebrasi pacu jalur Sachsen-KING for a reason #MotoGP #GermanGP https://t.co/YfbStzZsWc,1944377567831867849,https://pbs.twimg.com/media/GvvRF_DWMAA-XCR.jpg,,in,,53,71,302,https://x.com/undefined/status/1944377567831867849,1268958732794261505,,akhirnya sang raja telah kembali ke singgahsana miliknya di sachsenring marc marquez berhasil raih kemenangan yang jadi tradisi tahunannya setelah berhasil mendominasi jalannya race dan ditutup dengan selebrasi pacu jalur sachsenking for a reason,positive,0.6266375780105591
1944380726922633640,Sun Jul 13 12:57:44 +0000 2025,2077,Aura Farming Pacu Jalur tembus MotoGP https://t.co/f1kaHRhI8i,1944380726922633640,https://pbs.twimg.com/amplify_video_thumb/1944377542988722176/img/b7peTmHhbJn6Cz7V.jpg,,in,,31,30,331,https://x.com/undefined/status/1944380726922633640,1292806214955307010,,aura farming pacu jalur tembus motogp,positive,0.9722152948379517
1942166584061264010,Mon Jul 07 10:19:32 +0000 2025,2488,Wakil Presiden Gibran Rakabuming Raka membuat konten menari seperti penari Pacu Jalur. Video itu diunggah di akun Instagram-nya. Siapa sangka dari tepian Kuantan Singingi semangat Pacu Jalur bisa mengalir hingga ke jagat digital dunia tulis Gibran. Menurutnya viralnya https://t.co/H7Hn1rzqkd,1942166584061264010,https://pbs.twimg.com/amplify_video_thumb/1942166281068720128/img/hI7h6tVSkPqSWkRR.jpg,,in,,6565,3074,479,https://x.com/undefined/status/1942166584061264010,23343960,,wakil presiden gibran rakabuming raka membuat konten menari seperti penari pacu jalur video itu diunggah di akun instagramnya siapa sangka dari tepian kuantan singingi semangat pacu jalur bisa mengalir hingga ke jagat digital dunia tulis gibran menurutnya viralnya,neutral,0.9844704866409302
1942419669349994731,Tue Jul 08 03:05:12 +0000 2025,5203, Sebal banget dengan viralnya pacu jalur riau ini harusnya jadi momentum yg bagus buat pemerintah mengenalkan budaya Indonesia ke kancah internasional. Ini orang malah cuma ikutan joget viral yg gua yakin dia ga tau maknanya apa are we deadass? https://t.co/d2WLiwrZ6R,1942419669349994731,https://pbs.twimg.com/media/GvTcZSfXoAAVgm_.jpg,,in,,100,245,368,https://x.com/undefined/status/1942419669349994731,1371650588,,sebal banget dengan viralnya pacu jalur riau ini harusnya jadi momentum yg bagus buat pemerintah mengenalkan budaya indonesia ke kancah internasional ini orang malah cuma ikutan joget viral yg gua yakin dia ga tau maknanya apa are we deadass,negative,0.9967118501663208
